job,marital,education,default,housing,loan,contact,month,poutcome,deposit
unknown,married,tertiary,no,no,no,cellular,sep,unknown,yes
entrepreneur,married,secondary,no,yes,no,cellular,apr,failure,yes
technician,single,tertiary,no,no,no,cellular,oct,unknown,yes
retired,divorced,secondary,no,no,no,cellular,mar,other,yes
technician,married,tertiary,no,yes,no,cellular,apr,failure,yes
blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,yes
management,married,secondary,no,no,no,cellular,jul,success,yes
admin.,single,secondary,no,no,no,cellular,sep,unknown,yes
management,divorced,tertiary,no,no,no,cellular,nov,failure,yes
management,single,tertiary,no,no,yes,cellular,jul,unknown,yes
student,married,secondary,no,no,no,cellular,aug,unknown,yes
technician,divorced,tertiary,no,no,no,cellular,aug,unknown,yes
technician,single,secondary,no,yes,yes,cellular,may,failure,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
technician,married,secondary,no,no,no,cellular,aug,unknown,yes
entrepreneur,married,secondary,no,no,no,cellular,nov,failure,yes
retired,married,primary,no,no,no,cellular,feb,unknown,yes
management,married,tertiary,no,yes,no,cellular,sep,success,yes
admin.,married,primary,no,no,no,cellular,sep,failure,yes
student,single,secondary,no,no,no,cellular,mar,unknown,yes
services,divorced,secondary,no,no,no,cellular,mar,success,yes
student,single,unknown,no,no,no,cellular,aug,success,yes
admin.,married,secondary,no,no,no,cellular,apr,unknown,yes
admin.,married,secondary,no,no,no,cellular,jun,unknown,yes
student,single,tertiary,no,no,no,cellular,mar,success,yes
admin.,divorced,secondary,no,no,yes,cellular,oct,success,yes
management,single,tertiary,no,no,no,cellular,mar,unknown,yes
self-employed,single,tertiary,no,no,no,cellular,may,unknown,yes
unknown,married,unknown,no,no,no,telephone,aug,unknown,yes
management,married,tertiary,no,yes,no,cellular,apr,unknown,yes
technician,married,secondary,no,yes,no,cellular,nov,unknown,yes
technician,married,tertiary,no,yes,no,cellular,mar,unknown,yes
blue-collar,divorced,primary,no,no,no,cellular,jul,unknown,yes
management,single,tertiary,no,no,no,cellular,aug,success,yes
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,yes
management,single,tertiary,no,no,no,cellular,apr,unknown,yes
management,single,secondary,no,yes,no,cellular,nov,unknown,yes
self-employed,married,tertiary,no,no,no,cellular,nov,success,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,yes
blue-collar,single,primary,no,yes,no,unknown,may,unknown,yes
services,divorced,secondary,no,no,no,cellular,jul,unknown,yes
admin.,married,secondary,no,no,no,cellular,jun,unknown,yes
self-employed,single,tertiary,no,yes,no,unknown,may,unknown,yes
services,single,secondary,no,no,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
retired,married,secondary,no,no,no,cellular,feb,success,yes
management,married,tertiary,no,no,no,cellular,feb,success,yes
management,married,tertiary,no,no,no,cellular,aug,other,yes
retired,divorced,tertiary,no,no,no,cellular,nov,unknown,yes
admin.,married,secondary,no,no,no,telephone,dec,failure,yes
management,single,tertiary,no,no,no,cellular,feb,unknown,yes
blue-collar,married,primary,no,no,no,cellular,feb,unknown,yes
management,married,tertiary,no,no,no,cellular,feb,unknown,yes
admin.,single,secondary,no,no,no,unknown,jun,unknown,yes
technician,married,secondary,no,no,no,cellular,nov,unknown,yes
management,married,tertiary,no,no,no,cellular,nov,unknown,yes
management,married,tertiary,no,yes,no,cellular,aug,success,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,primary,no,no,no,cellular,jan,success,yes
management,married,secondary,no,no,no,cellular,aug,unknown,yes
services,married,secondary,no,no,no,cellular,jun,success,yes
technician,divorced,tertiary,no,no,no,telephone,jun,unknown,yes
technician,single,secondary,no,no,no,cellular,jul,unknown,yes
management,single,secondary,no,no,no,cellular,jan,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
services,single,secondary,no,no,no,cellular,sep,success,yes
services,married,secondary,no,yes,no,cellular,jul,unknown,yes
self-employed,single,tertiary,no,yes,no,unknown,may,unknown,yes
management,married,primary,no,no,no,cellular,nov,unknown,yes
admin.,single,tertiary,no,no,no,cellular,mar,unknown,yes
technician,married,secondary,no,yes,no,cellular,jun,success,yes
admin.,married,secondary,no,no,no,cellular,oct,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
management,married,tertiary,no,no,no,cellular,jul,unknown,yes
management,married,tertiary,no,no,no,cellular,feb,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,feb,success,yes
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,secondary,no,yes,no,cellular,oct,success,yes
technician,single,secondary,no,no,no,cellular,apr,unknown,yes
services,married,secondary,no,no,no,cellular,apr,unknown,yes
management,single,tertiary,no,no,no,cellular,oct,unknown,yes
technician,married,secondary,no,no,no,cellular,aug,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
housemaid,married,primary,no,no,no,cellular,apr,unknown,yes
unemployed,married,secondary,no,yes,no,unknown,jun,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,may,unknown,yes
self-employed,married,secondary,no,yes,yes,unknown,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,feb,unknown,yes
student,single,secondary,no,yes,no,cellular,may,unknown,yes
retired,married,secondary,no,no,no,cellular,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,yes
student,married,tertiary,no,yes,no,cellular,may,failure,yes
admin.,married,secondary,no,yes,no,cellular,feb,unknown,yes
blue-collar,divorced,primary,no,yes,no,cellular,nov,other,yes
services,married,secondary,no,no,no,cellular,aug,unknown,yes
management,married,tertiary,no,yes,no,cellular,apr,success,yes
retired,divorced,primary,no,yes,no,cellular,nov,failure,yes
technician,married,secondary,no,no,no,cellular,nov,success,yes
admin.,single,tertiary,no,no,no,cellular,oct,success,yes
technician,single,unknown,no,no,no,cellular,apr,unknown,yes
services,single,secondary,no,no,no,cellular,jan,unknown,yes
management,single,tertiary,no,no,no,telephone,oct,other,yes
blue-collar,married,unknown,no,no,no,unknown,jun,unknown,yes
retired,married,primary,no,no,no,telephone,nov,failure,yes
retired,married,unknown,no,no,no,cellular,feb,unknown,yes
self-employed,divorced,secondary,no,yes,no,cellular,aug,unknown,yes
management,married,tertiary,no,yes,no,telephone,oct,unknown,yes
management,married,tertiary,no,no,no,cellular,feb,success,yes
management,married,tertiary,no,no,no,cellular,aug,failure,yes
management,married,tertiary,no,no,no,cellular,apr,unknown,yes
management,married,tertiary,no,no,no,cellular,oct,success,yes
blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,feb,unknown,yes
services,single,secondary,no,no,no,cellular,jan,other,yes
retired,single,tertiary,no,no,no,telephone,apr,unknown,yes
management,married,tertiary,no,no,no,cellular,apr,success,yes
technician,married,tertiary,no,no,no,cellular,apr,unknown,yes
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
technician,single,tertiary,no,yes,no,cellular,apr,failure,yes
technician,divorced,secondary,no,no,no,cellular,aug,unknown,yes
unemployed,single,tertiary,no,no,no,cellular,feb,unknown,yes
admin.,married,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,jul,unknown,yes
technician,married,secondary,no,no,no,cellular,oct,failure,yes
technician,single,tertiary,no,yes,no,cellular,feb,unknown,yes
management,single,tertiary,no,yes,no,cellular,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
management,single,unknown,no,yes,no,cellular,may,unknown,yes
housemaid,single,tertiary,no,no,no,cellular,apr,unknown,yes
blue-collar,single,primary,no,yes,no,cellular,oct,unknown,yes
unemployed,single,tertiary,no,no,no,cellular,jul,other,yes
blue-collar,single,secondary,no,no,no,cellular,may,success,yes
technician,married,tertiary,no,no,no,cellular,jun,unknown,yes
housemaid,married,tertiary,no,no,no,cellular,oct,success,yes
blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,yes
services,divorced,tertiary,no,no,no,cellular,jan,unknown,yes
admin.,married,secondary,no,yes,no,cellular,apr,unknown,yes
admin.,married,secondary,no,yes,no,cellular,may,failure,yes
technician,single,tertiary,no,no,no,cellular,nov,success,yes
management,married,tertiary,no,no,no,cellular,jan,unknown,yes
housemaid,married,secondary,no,yes,no,cellular,aug,failure,yes
management,divorced,tertiary,no,yes,no,cellular,aug,unknown,yes
technician,single,secondary,no,no,no,cellular,jan,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
services,married,primary,no,yes,no,cellular,may,unknown,yes
services,married,tertiary,no,no,no,cellular,dec,success,yes
services,married,primary,no,yes,no,cellular,may,failure,yes
technician,married,tertiary,no,no,no,cellular,may,other,yes
unemployed,married,primary,no,yes,no,cellular,feb,failure,yes
blue-collar,married,primary,no,yes,no,cellular,apr,unknown,yes
student,single,secondary,no,no,no,cellular,aug,unknown,yes
services,single,tertiary,no,no,yes,telephone,jul,unknown,yes
admin.,single,secondary,no,yes,no,cellular,jun,success,yes
management,married,secondary,no,no,no,cellular,may,failure,yes
management,single,tertiary,no,no,no,cellular,jan,other,yes
technician,single,secondary,no,no,no,cellular,nov,failure,yes
technician,married,secondary,no,no,no,cellular,sep,failure,yes
management,married,secondary,no,no,no,cellular,may,success,yes
retired,married,secondary,no,no,no,cellular,oct,success,yes
self-employed,single,tertiary,no,no,no,cellular,jun,other,yes
management,married,tertiary,no,yes,no,cellular,nov,success,yes
retired,married,primary,no,no,no,cellular,mar,other,yes
management,married,tertiary,no,no,yes,cellular,apr,failure,yes
management,married,tertiary,no,no,no,cellular,jan,other,yes
housemaid,single,primary,no,no,no,cellular,apr,unknown,yes
management,single,tertiary,no,no,no,cellular,sep,failure,yes
management,single,tertiary,no,no,no,cellular,feb,unknown,yes
technician,divorced,tertiary,no,yes,no,cellular,feb,unknown,yes
retired,married,unknown,no,no,no,telephone,sep,success,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,apr,unknown,yes
management,married,tertiary,no,no,no,cellular,feb,unknown,yes
admin.,single,tertiary,no,no,no,cellular,apr,unknown,yes
management,married,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,no,yes,telephone,jul,unknown,yes
technician,single,secondary,no,no,no,cellular,jul,success,yes
technician,married,tertiary,no,no,no,cellular,nov,success,yes
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,yes
management,married,tertiary,no,yes,no,cellular,apr,unknown,yes
housemaid,married,secondary,no,no,no,cellular,mar,unknown,yes
retired,married,secondary,no,no,yes,cellular,jul,failure,yes
student,single,secondary,no,no,no,cellular,jan,unknown,yes
technician,single,tertiary,no,yes,no,cellular,aug,failure,yes
services,single,secondary,yes,yes,no,cellular,jul,unknown,yes
retired,married,secondary,no,yes,no,cellular,oct,unknown,yes
student,single,tertiary,no,no,no,cellular,jun,failure,yes
blue-collar,married,secondary,no,yes,yes,cellular,apr,unknown,yes
management,single,secondary,no,no,yes,telephone,may,unknown,yes
blue-collar,married,secondary,no,no,yes,cellular,dec,unknown,yes
housemaid,single,tertiary,no,no,no,cellular,jul,unknown,yes
technician,married,tertiary,no,yes,no,unknown,jun,unknown,yes
admin.,single,tertiary,no,no,no,cellular,may,success,yes
blue-collar,married,secondary,no,no,yes,cellular,jun,unknown,yes
services,married,secondary,no,yes,no,cellular,jul,unknown,yes
services,married,secondary,no,no,no,cellular,jan,unknown,yes
admin.,married,secondary,no,yes,no,telephone,jul,unknown,yes
technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,yes
admin.,married,secondary,no,yes,no,cellular,jul,unknown,yes
student,single,secondary,no,yes,no,cellular,jun,unknown,yes
student,single,secondary,no,no,no,cellular,may,other,yes
technician,married,secondary,no,yes,no,cellular,dec,unknown,yes
retired,divorced,secondary,no,no,no,cellular,feb,failure,yes
unemployed,married,tertiary,no,no,no,cellular,jun,success,yes
management,single,tertiary,no,yes,no,cellular,sep,success,yes
technician,married,secondary,no,no,no,cellular,mar,unknown,yes
student,single,tertiary,no,yes,no,cellular,may,failure,yes
blue-collar,married,secondary,no,yes,no,unknown,aug,other,yes
management,single,tertiary,no,no,no,cellular,feb,success,yes
services,single,tertiary,no,no,no,cellular,oct,unknown,yes
self-employed,divorced,tertiary,no,yes,no,cellular,aug,success,yes
management,single,tertiary,no,no,no,cellular,sep,other,yes
technician,single,secondary,no,yes,no,unknown,oct,unknown,yes
admin.,single,secondary,no,no,no,cellular,jan,unknown,yes
management,married,tertiary,no,no,yes,cellular,feb,success,yes
management,single,unknown,no,yes,no,cellular,jul,unknown,yes
management,married,tertiary,no,no,no,cellular,apr,unknown,yes
admin.,married,secondary,no,no,no,cellular,aug,other,yes
unemployed,single,tertiary,no,no,no,cellular,may,success,yes
technician,married,secondary,no,no,yes,cellular,jun,success,yes
admin.,married,secondary,no,no,no,cellular,dec,success,yes
services,married,secondary,no,no,no,cellular,nov,unknown,yes
housemaid,married,tertiary,no,no,no,cellular,mar,unknown,yes
management,married,tertiary,no,yes,no,cellular,aug,other,yes
admin.,single,secondary,no,yes,no,cellular,may,unknown,yes
management,married,secondary,no,no,no,cellular,jul,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,nov,unknown,yes
management,single,tertiary,no,no,no,cellular,may,success,yes
technician,married,tertiary,no,no,no,cellular,jul,success,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,aug,success,yes
admin.,married,secondary,no,yes,no,cellular,nov,failure,yes
student,single,secondary,no,no,no,cellular,may,failure,yes
services,single,secondary,no,yes,no,cellular,may,failure,yes
blue-collar,married,unknown,no,yes,no,telephone,may,unknown,yes
unemployed,single,tertiary,no,no,no,cellular,aug,unknown,yes
management,married,tertiary,no,yes,yes,cellular,may,other,yes
blue-collar,married,primary,no,no,no,cellular,mar,unknown,yes
technician,single,secondary,no,no,no,telephone,sep,unknown,yes
retired,married,secondary,no,no,no,cellular,nov,unknown,yes
unknown,married,secondary,no,no,no,cellular,feb,failure,yes
management,married,unknown,no,yes,no,cellular,jun,success,yes
technician,married,secondary,no,no,no,cellular,aug,unknown,yes
entrepreneur,married,secondary,no,no,no,cellular,sep,failure,yes
student,single,secondary,no,no,no,cellular,jul,success,yes
management,single,tertiary,no,no,no,cellular,aug,unknown,yes
blue-collar,married,unknown,no,no,no,cellular,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,mar,unknown,yes
blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
admin.,single,tertiary,no,no,no,cellular,feb,unknown,yes
blue-collar,divorced,unknown,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,apr,other,yes
management,married,tertiary,no,no,no,cellular,apr,success,yes
services,single,secondary,no,no,no,cellular,apr,unknown,yes
self-employed,single,secondary,no,no,no,cellular,apr,other,yes
management,married,tertiary,no,no,no,telephone,aug,unknown,yes
services,single,secondary,no,no,no,telephone,dec,success,yes
blue-collar,married,primary,no,yes,no,cellular,may,unknown,yes
admin.,single,tertiary,no,yes,no,cellular,may,unknown,yes
technician,married,secondary,no,no,no,unknown,may,unknown,yes
management,married,tertiary,no,no,no,telephone,oct,unknown,yes
technician,married,tertiary,no,no,no,cellular,jun,unknown,yes
technician,single,secondary,no,no,no,cellular,feb,unknown,yes
entrepreneur,single,secondary,no,no,no,unknown,feb,unknown,yes
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,yes
retired,married,secondary,no,no,no,cellular,feb,success,yes
technician,single,secondary,no,yes,no,cellular,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,jan,success,yes
self-employed,single,tertiary,no,no,no,cellular,mar,unknown,yes
technician,divorced,tertiary,no,yes,no,cellular,aug,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
retired,married,primary,no,no,no,cellular,apr,unknown,yes
services,married,secondary,no,yes,yes,cellular,jul,unknown,yes
retired,divorced,primary,no,no,no,telephone,jul,unknown,yes
technician,married,tertiary,no,no,yes,cellular,nov,other,yes
student,single,secondary,no,no,no,unknown,jun,unknown,yes
self-employed,married,primary,no,no,yes,cellular,jul,unknown,yes
self-employed,married,secondary,no,yes,no,cellular,apr,unknown,yes
technician,married,secondary,no,no,no,telephone,jul,unknown,yes
blue-collar,single,secondary,no,no,no,cellular,dec,other,yes
admin.,married,secondary,no,no,no,cellular,feb,success,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
student,single,secondary,no,no,no,cellular,nov,success,yes
retired,married,primary,no,no,no,cellular,may,success,yes
management,single,tertiary,yes,yes,no,cellular,nov,unknown,yes
admin.,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,may,other,yes
technician,single,tertiary,no,yes,no,cellular,apr,success,yes
management,married,tertiary,no,yes,no,cellular,aug,unknown,yes
management,single,tertiary,no,yes,no,cellular,apr,failure,yes
housemaid,married,secondary,no,yes,no,cellular,oct,unknown,yes
student,single,tertiary,no,no,no,cellular,apr,other,yes
unemployed,married,tertiary,no,no,no,cellular,oct,unknown,yes
management,married,tertiary,no,no,no,cellular,nov,failure,yes
blue-collar,divorced,primary,no,no,no,cellular,nov,unknown,yes
management,single,tertiary,no,no,no,cellular,may,failure,yes
management,married,tertiary,no,yes,yes,cellular,jan,success,yes
admin.,divorced,secondary,no,yes,no,unknown,jun,unknown,yes
services,married,secondary,no,yes,no,unknown,may,unknown,yes
technician,married,tertiary,no,yes,no,cellular,may,unknown,yes
technician,married,secondary,no,yes,no,cellular,feb,other,yes
management,married,tertiary,no,yes,no,telephone,oct,unknown,yes
management,single,tertiary,no,yes,no,cellular,sep,success,yes
services,divorced,secondary,no,yes,no,cellular,nov,unknown,yes
entrepreneur,married,secondary,no,yes,no,cellular,nov,unknown,yes
services,married,secondary,no,yes,yes,cellular,aug,unknown,yes
student,single,secondary,no,no,no,cellular,feb,success,yes
admin.,married,secondary,no,yes,no,unknown,nov,unknown,yes
management,single,tertiary,no,yes,no,cellular,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,oct,unknown,yes
student,single,secondary,no,no,no,cellular,feb,unknown,yes
management,married,tertiary,no,no,no,cellular,mar,success,yes
blue-collar,single,secondary,no,yes,no,cellular,apr,success,yes
admin.,single,secondary,no,no,no,cellular,apr,unknown,yes
self-employed,divorced,tertiary,no,yes,no,cellular,apr,success,yes
services,married,secondary,no,no,no,cellular,may,success,yes
admin.,single,secondary,yes,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,feb,unknown,yes
management,single,tertiary,no,yes,no,cellular,oct,failure,yes
student,single,primary,no,no,no,cellular,may,success,yes
blue-collar,divorced,unknown,yes,yes,yes,cellular,apr,failure,yes
admin.,married,secondary,no,no,no,cellular,may,success,yes
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,oct,unknown,yes
self-employed,single,secondary,no,yes,no,cellular,feb,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,primary,no,no,no,telephone,sep,failure,yes
services,married,secondary,no,no,no,cellular,apr,success,yes
technician,married,secondary,no,yes,yes,unknown,may,unknown,yes
retired,married,secondary,no,no,no,cellular,aug,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,nov,success,yes
services,single,primary,no,no,yes,cellular,jul,unknown,yes
management,married,tertiary,no,yes,no,cellular,apr,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,feb,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,sep,success,yes
technician,married,secondary,no,yes,no,cellular,jun,unknown,yes
management,divorced,tertiary,no,yes,no,cellular,jul,unknown,yes
student,single,tertiary,no,no,no,cellular,may,success,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
admin.,single,secondary,no,no,no,cellular,jan,unknown,yes
student,single,secondary,no,no,no,cellular,jan,unknown,yes
unknown,single,tertiary,no,no,no,cellular,jun,success,yes
admin.,married,secondary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,primary,no,no,yes,telephone,feb,unknown,yes
technician,single,tertiary,no,no,no,cellular,feb,unknown,yes
admin.,married,tertiary,no,yes,yes,cellular,mar,unknown,yes
entrepreneur,married,tertiary,no,yes,no,telephone,jul,unknown,yes
admin.,single,secondary,no,no,no,unknown,jun,unknown,yes
admin.,married,secondary,no,no,no,cellular,sep,unknown,yes
housemaid,married,primary,no,no,no,cellular,oct,failure,yes
technician,single,tertiary,no,no,no,cellular,aug,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,yes
admin.,divorced,secondary,no,no,no,cellular,apr,unknown,yes
technician,single,secondary,no,no,no,cellular,nov,unknown,yes
entrepreneur,married,secondary,no,no,no,cellular,oct,success,yes
technician,married,tertiary,no,yes,no,cellular,jun,other,yes
management,divorced,tertiary,no,no,no,cellular,oct,unknown,yes
management,single,tertiary,no,yes,no,cellular,feb,unknown,yes
management,married,tertiary,no,yes,no,cellular,may,other,yes
technician,single,secondary,no,no,yes,cellular,mar,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,yes
unemployed,single,secondary,no,no,no,cellular,jan,unknown,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
technician,single,secondary,no,no,no,cellular,jan,unknown,yes
retired,married,tertiary,no,no,no,cellular,sep,success,yes
unemployed,married,secondary,no,no,no,cellular,jul,failure,yes
housemaid,single,tertiary,no,no,no,cellular,dec,success,yes
retired,married,secondary,no,no,no,cellular,mar,other,yes
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,yes
admin.,married,secondary,no,no,no,cellular,aug,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,failure,yes
blue-collar,married,secondary,no,no,no,cellular,may,failure,yes
admin.,single,secondary,no,no,no,cellular,jul,unknown,yes
management,divorced,tertiary,no,no,no,cellular,aug,unknown,yes
retired,married,tertiary,no,yes,no,cellular,feb,unknown,yes
management,single,secondary,no,yes,no,cellular,apr,unknown,yes
student,single,tertiary,no,no,no,telephone,feb,unknown,yes
student,single,tertiary,no,yes,no,cellular,apr,failure,yes
retired,married,tertiary,no,yes,no,cellular,feb,unknown,yes
admin.,married,tertiary,no,yes,no,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,nov,unknown,yes
entrepreneur,single,tertiary,yes,yes,yes,cellular,aug,unknown,yes
management,single,tertiary,no,no,no,cellular,jul,success,yes
services,single,secondary,no,no,no,cellular,jun,unknown,yes
retired,married,tertiary,no,yes,yes,unknown,may,unknown,yes
management,single,tertiary,no,no,no,cellular,jan,success,yes
admin.,divorced,tertiary,no,no,no,cellular,jul,unknown,yes
admin.,single,secondary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,no,no,cellular,apr,unknown,yes
management,divorced,tertiary,no,no,no,cellular,apr,failure,yes
technician,married,secondary,no,no,no,telephone,oct,unknown,yes
management,divorced,unknown,no,no,no,cellular,oct,success,yes
retired,married,secondary,no,no,no,cellular,may,failure,yes
management,married,tertiary,no,no,no,cellular,feb,unknown,yes
management,married,tertiary,no,no,no,cellular,jul,failure,yes
services,divorced,primary,no,yes,yes,unknown,may,unknown,yes
admin.,married,tertiary,no,no,yes,cellular,aug,success,yes
unemployed,single,secondary,no,no,no,cellular,oct,other,yes
services,single,secondary,no,yes,yes,cellular,mar,unknown,yes
technician,married,secondary,no,no,no,cellular,feb,unknown,yes
blue-collar,single,primary,no,no,no,cellular,feb,unknown,yes
technician,married,secondary,no,no,no,cellular,oct,other,yes
student,single,secondary,no,no,no,cellular,sep,unknown,yes
student,single,tertiary,no,yes,no,telephone,feb,unknown,yes
services,single,secondary,no,yes,no,cellular,may,failure,yes
admin.,single,secondary,no,no,no,cellular,jun,unknown,yes
admin.,single,secondary,no,yes,no,cellular,nov,failure,yes
management,divorced,secondary,no,yes,no,cellular,jul,unknown,yes
management,married,tertiary,no,yes,no,telephone,oct,failure,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
services,divorced,secondary,no,no,no,cellular,aug,unknown,yes
technician,divorced,secondary,yes,no,no,cellular,jan,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,aug,success,yes
management,single,tertiary,no,no,no,cellular,jan,unknown,yes
management,divorced,tertiary,no,no,no,cellular,aug,unknown,yes
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
technician,single,secondary,no,no,yes,unknown,mar,unknown,yes
admin.,married,secondary,no,yes,no,cellular,may,other,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
self-employed,single,tertiary,no,no,no,cellular,dec,unknown,yes
management,married,tertiary,no,yes,yes,cellular,nov,other,yes
technician,divorced,secondary,no,no,no,cellular,oct,failure,yes
technician,single,secondary,yes,yes,no,unknown,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,apr,other,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
technician,married,secondary,no,yes,no,cellular,feb,success,yes
management,married,tertiary,no,no,no,cellular,mar,failure,yes
unemployed,married,tertiary,no,yes,no,cellular,apr,unknown,yes
unemployed,married,primary,no,no,no,cellular,nov,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
student,single,secondary,no,yes,no,cellular,feb,failure,yes
management,married,tertiary,no,no,no,cellular,apr,unknown,yes
self-employed,divorced,tertiary,no,no,no,cellular,jul,unknown,yes
admin.,married,unknown,no,no,no,cellular,apr,unknown,yes
technician,single,unknown,no,no,no,cellular,aug,success,yes
management,single,tertiary,no,no,no,cellular,apr,unknown,yes
admin.,married,secondary,no,no,no,cellular,aug,success,yes
management,divorced,secondary,no,no,no,cellular,aug,unknown,yes
management,married,secondary,no,no,no,cellular,mar,unknown,yes
student,single,secondary,no,no,no,cellular,feb,success,yes
technician,single,unknown,no,no,no,cellular,may,unknown,yes
technician,married,primary,no,yes,no,telephone,jun,unknown,yes
management,single,tertiary,no,yes,no,cellular,nov,unknown,yes
technician,divorced,unknown,no,no,no,cellular,jan,unknown,yes
management,divorced,tertiary,no,yes,no,unknown,jun,unknown,yes
admin.,married,secondary,no,yes,no,cellular,may,failure,yes
technician,single,secondary,no,no,no,cellular,aug,success,yes
management,single,tertiary,no,yes,no,cellular,apr,unknown,yes
retired,divorced,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jul,unknown,yes
technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
retired,divorced,primary,no,no,no,cellular,nov,unknown,yes
management,married,tertiary,no,no,no,cellular,jan,other,yes
retired,married,primary,no,no,no,cellular,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,nov,unknown,yes
management,single,tertiary,no,no,no,cellular,aug,unknown,yes
blue-collar,single,primary,no,yes,no,cellular,may,failure,yes
technician,single,tertiary,no,yes,no,cellular,jul,unknown,yes
management,divorced,tertiary,no,yes,no,cellular,may,failure,yes
management,single,tertiary,no,yes,no,cellular,may,failure,yes
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,yes
blue-collar,divorced,secondary,no,no,no,cellular,may,unknown,yes
management,married,tertiary,no,yes,yes,cellular,feb,unknown,yes
